chip_id,location,datetime,cloudpath
aeig,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeig
aetz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aetz
aeue,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeue
aevh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevh
afgi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afgi
afor,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afor
agiw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agiw
agja,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agja
agjn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agjn
agsp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agsp
agtu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtu
agvj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agvj
agyv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agyv
aisz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aisz
aixr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aixr
ajbx,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ajbx
ajlv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ajlv
ajvr,Addis Ababa,2020-09-10T07:57:42Z,az://./train_features/ajvr
alpj,Addis Ababa,2020-09-10T07:57:42Z,az://./train_features/alpj
alxc,Addis Ababa,2020-09-10T07:57:42Z,az://./train_features/alxc
alzi,Addis Ababa,2020-09-10T07:57:42Z,az://./train_features/alzi
anka,Addis Ababa,2020-09-10T07:57:42Z,az://./train_features/anka
antt,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/antt
aoas,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aoas
aolc,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aolc
aons,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aons
aool,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aool
aopg,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aopg
aoqh,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aoqh
apag,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/apag
apkk,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/apkk
apmr,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/apmr
aqfi,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/aqfi
argi,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/argi
armm,Bahir Dar,2020-09-08T08:06:56Z,az://./train_features/armm
aswc,Chingola,2020-07-26T08:33:40Z,az://./train_features/aswc
asxc,Chingola,2020-07-26T08:33:40Z,az://./train_features/asxc
asxv,Chingola,2020-07-26T08:33:40Z,az://./train_features/asxv
atfw,Chingola,2020-07-26T08:33:40Z,az://./train_features/atfw
atmq,Chingola,2020-07-26T08:33:40Z,az://./train_features/atmq
